english term	urdu equivalent
ہم، ہمہ	ہمہ وقت، ہم سفر
above: energy above the ground state	زمینی حال سے زائد توانائی
accelerate	
acceleration, accelerating	اسراع، مسرع یا سرعت پزیر
AC, DC	یک سمت رو، بدلتا رو
AC voltage, DC voltage	یک سمت رو برقی دباو، بدلتا رو برقی دباو
AC motor, DC motor	یک سمت رو موٹر، بدلتا رو موٹر
across	آرپار، عبوری، عبوری کرنا
about	ارد گرد، گردونواہ
above; lying above a circle	ٹھیک دائرہ کے اوپر کچھ بلندی پر پایا جاتا ہے
absolute value	مطلق قیمت (میٹرک کتاب)
absolutely integrable	مطلق قابل تکمل، مطلق متکامل
absorber, absorbtion rate	جاذب، شرح  انجذاب، جاذبی شرح؟
abstract	تصوراتی، خلاصہ
AC current، AC voltage	بدلتا رو، بدلتا برقی دباؤ
accumulation point	نقطہ اجتماع
acquarium	مچھلی گھر
ADC: analog to digital converter	مماثل سے عددی مبادل کار
admit; admit a solution	تسلیم کرنا؛ حل تسلیم کرتا ہے
Adrien Marie Legendre	اڈریان مری لیژانڈر
advanced text, [advanced education]	اعلٰی درجے کی کتاب،درجہ اعلٰی کتاب، [اعلٰی تعلیم]
Aharonov-Bohm effect	اہارونو و بوہم اثر
ASICs	خصوصی استعمال کے مخلوط ادوار
accessible states	قابل رسائی حالات
Accuracy, 3 digit accuracy	درستگی، اشاریہ کے بعد تین ہندسوں تک درستگی
Achille Ernest Delesse’r rule	اشیلہ ارنسٹ دولس، قاعدہ دولس
active voice, [passive voice]	فعل معروف، [فعل مجہول]
active, passive component: resistor and transistor	عامل پرزہ، غیع عامل پرزہ، معروف، مجہول پرزہ
active mode :transistor	افزائندہ حال
active: active low, active high, inactive	بلند عمل پیرا، غیر عمل پیرا
acute angle (less than 90)	زاویہ حادہ
adder, subtractor, adder-subtractor	جمع کار، منفی کار، جمع و منفی کار
addition or deletion	شمولیت یا کٹوتی
addition, subtraction	جمع، تفریق
additional	اضافی، زائد
additive	جمعی
additivity	جمع پذیری
adiabatic process; near adiabatic	حر نا گزر عمل؛ قریب حر نا گزر
adiabatic process; near adiabatic	حرارت نا گزر عمل؛ قریب حرارت نا گزر
adiabaticity	حر ناگزر پن
adjacent [states]	ہمسایہ، پڑوسی، برابر والا، قریب قریب، ساتھ ساتھ
adjoint matrix	شریک قالب
adjust	درست کرنا، مطابق بنانا
Admittance, impedance (electrical)	برقی رکاوٹ، برقی فراوانی
Adolf Fick	اڈولف فک
advantage, disadvantage	افادیت، قباحت
aerodynamics	ہوائی حرکیات
aerofoil	ہوائی پترا
aging	عمر رسیدگی
agnostic position	انکاری سوچ
agree, agreement	موافق ہونا، موافقت
air conditioner	ایئر کنڈشنر
air foil (this is american spelling), aerofoil	ہوائی پترا
air gun [pallet]	ہوائی بندوق [چھرا]
Airy’s equation, functions	مساوات ایئری، تفاعلات ایئری
Alaska	ایلاسکا
alcalii (base)	القلی (اساس)
Aleksander Mikhailovich Lyapunov (russian Maths)	سکندر میکائل لیاپونو
Alexander	سکندر
Alexandria	سکندریا
all, [same]	ہمہ، [ہم]
algebraic multiplicity	الجبرائی کثرت
algebraic, transcendental functions or numbers	الجبرائی اور ماورائی تفاعل یا اعداد
align, alignment, aligned	سیدھ میں لانا، صف بندی، ہم صف، صف بستہ کئے ہوئے ہے
align: oppositely aligned	مخالف صف بند
algorithm algorithmic	الخوارزم، الخوارزمی
allot	مقرر کرنا
along	ساتھ ساتھ, ہمراہ
allowed energy	جائز توانائی
alphabet (english)	لاطینی حروف تہجی
alternate	باری باری، ایک کے بعد دوسرا
alternating current	بدلتا رو
alternating series	بدلتا تسلسل
alternating series theorem	مسئلہ بدلتا تسلسل
ammeter	ایمپیئر پیما
ampere	ایمپیئر
ampere's circuital law	ایمپیئر کا دوری قانون
amplification	افزائش
amplifier	افزائش کار، ایمپلی فائر
amplifier: preamplifier, power amplifier	ابتدائی ایمپلی فائر، قوی ایمپلی فائر؛ افزائش کار
amplification	افزائش
amplitude	حیط، حیطہ
amplitude	حیط: کسی لہر کے وسطی حصہ سے اس کے بالائی یا نچلے حصوں کے درمیان کا فاصلہ
analog electronics	مماثل برقیات
analogy	تمثیل
analysis, DC, AC	تجزیہ، یک سمت تجزیہ، بدلتا تجزیہ
analytic continuation	تحلیلی استمرار
analytic function	تحلیلی تفاعل
analytic method	تحلیل طریقہ کار یا ترکیب
analytical analysis	تحلیلی تجزیہ
analyticity	تحلیلی ہونا، تحلیل پذیری
analytical tools	تجزیاتی آلات
and/or: this and/or this …	دونوں یا(ان میں سے) کوئی ایک
AND, OR, NOT	ضرب گیٹ، جمع گیٹ، نفی گیٹ
Andre Louis Cholesky	اندرِ لوئی شولسکی
nnihilation	فنا
angle	زاویہ
angle of elevation; angle of depression	زاویہ صعود؛ زاویہ نزول
angular displacement	زاویائی ہٹاو
angular form: of writing complex numbers=r, theta	زاویائی طرز
angular frequency	زاویاتی تعدادِ ارتعاش
angular speed, velocity: ω	زاویاتی رفتار، سمتیہ زاویاتی رفتار
anomalous magnetic moment	بے ضابطہ مقناطیسی معیار اثر
antireflective coating	غیر انعکاسی تہہ
anion, (cation)	منفی باررداریہ (مثبت بارداریہ)
anisotropic	سمتی خاصیت
anode	مثبت برقیرہ
annihilation	نابودی،  فنا
annulus, (washer)	چھلا
antenna	اینٹینا
antenna: end-fire antenna	محوری انٹینا
antenna: pattern: primary pattern, secondary pattern	انفرادی نقش، قطاری نقش
antenna: transmitting, receiving	وصولی اینٹینا، اخراجی اینٹینا
anticlockwise, clockwise	گھڑی کی سوئی کے مخالف رخ، گھڑی مخالف رخ
antiderivative	الٹ تفرق
antilog	الٹ لاگ
